,obstacle_density,food_density,nr_hives,Run,baby_bee,death_age,food,forage_bee,n_bees,n_births,n_deaths,rest_bee,scout_bee,width,height
191,30,5,3,191,0,0,68.19799999999995,7,121,0,0,1,113,50,50
192,30,5,3,192,0,0,74.99999999999999,4,120,0,0,2,114,50,50
193,30,5,3,193,0,0,82.16553638597993,4,123,0,0,3,116,50,50
194,30,5,3,194,0,0,67.80000000000004,8,120,0,0,2,110,50,50
195,30,5,3,195,0,0,116.55129172757844,8,125,0,0,1,116,50,50
196,30,5,3,196,0,0,109.39999999999993,13,120,0,0,5,102,50,50
197,30,5,3,197,0,0,32.20000000000001,5,120,0,0,0,115,50,50
198,30,5,3,198,0,0,54.40000000000005,12,120,0,0,3,105,50,50
199,30,5,3,199,0,0,86.39999999999995,7,120,0,0,4,109,50,50
200,30,5,5,200,0,0,115.2000000000001,12,200,0,0,6,182,50,50
201,30,5,5,201,0,0,106.8,12,200,0,0,5,183,50,50
202,30,5,5,202,0,0,95.59999999999991,8,200,0,0,2,190,50,50
203,30,5,5,203,0,0,123.00000000000007,3,200,0,0,3,194,50,50
204,30,5,5,204,0,0,80.60000000000005,7,200,0,0,2,191,50,50
205,30,5,5,205,0,0,97.40000000000008,6,200,0,0,6,188,50,50
206,30,5,5,206,0,0,78.00000000000006,7,200,0,0,1,192,50,50
207,30,5,5,207,0,0,89.6000000000001,11,200,0,0,0,189,50,50
208,30,5,5,208,0,0,129.38993979999995,17,202,0,0,7,178,50,50
209,30,5,5,209,0,0,133.8,8,200,0,0,3,189,50,50
210,30,10,1,210,0,0,47.79999999999991,4,40,0,0,1,35,50,50
211,30,10,1,211,0,0,55.19999999999985,4,40,0,0,0,36,50,50
212,30,10,1,212,0,0,40.999999999999915,3,40,0,0,5,32,50,50
213,30,10,1,213,0,0,69.5919799999998,9,41,0,0,1,31,50,50
214,30,10,1,214,0,0,69.38795999999986,6,40,0,0,2,32,50,50
215,30,10,1,215,0,0,55.399999999999864,5,40,0,0,1,34,50,50
216,30,10,1,216,0,0,57.999999999999844,9,40,0,0,1,30,50,50
217,30,10,1,217,0,0,39.59999999999994,4,40,0,0,1,35,50,50
218,30,10,1,218,0,0,22.00000000000001,0,40,0,0,2,38,50,50
219,30,10,1,219,0,0,44.59999999999988,5,40,0,0,2,33,50,50
220,30,10,3,220,0,0,135.79799999999972,11,121,0,0,7,103,50,50
221,30,10,3,221,0,0,105.39999999999998,12,120,0,0,6,102,50,50
222,30,10,3,222,0,0,186.59399999999954,18,121,0,0,9,94,50,50
223,30,10,3,223,0,0,155.58191979999975,13,121,0,0,8,100,50,50
224,30,10,3,224,0,0,127.59999999999982,9,120,0,0,5,106,50,50
225,30,10,3,225,0,0,142.76567859799965,8,121,0,0,4,109,50,50
226,30,10,3,226,0,0,170.53942319690572,4,121,0,0,7,110,50,50
227,30,10,3,227,0,0,113.37357597995992,10,123,1,0,6,107,50,50
228,30,10,3,228,0,0,128.9939799999998,11,122,0,0,4,107,50,50
229,30,10,3,229,0,0,182.54929417595966,10,121,0,0,5,106,50,50
230,30,10,5,230,0,0,269.77995999999945,14,201,0,0,12,175,50,50
231,30,10,5,231,0,0,267.18787959999946,22,200,0,0,9,169,50,50
232,30,10,5,232,0,0,226.36373798997968,15,201,0,0,7,179,50,50
233,30,10,5,233,0,0,173.19999999999976,16,200,0,0,5,179,50,50
234,30,10,5,234,0,0,239.9758395999997,19,200,0,0,12,169,50,50
235,30,10,5,235,0,0,254.59597999999949,16,201,0,0,9,176,50,50
236,30,10,5,236,0,0,247.76128785687396,12,199,0,0,7,180,50,50
237,30,10,5,237,0,0,194.98795999999973,9,201,0,0,10,182,50,50
238,30,10,5,238,0,0,168.3979999999998,11,200,0,0,5,184,50,50
239,30,10,5,239,0,0,174.36389999999986,11,200,0,0,7,182,50,50
240,30,20,1,240,0,0,112.37793999999967,9,40,0,0,2,29,50,50
241,30,20,1,241,0,0,75.5959999999998,6,41,0,0,5,30,50,50
242,30,20,1,242,0,0,129.93323599199965,5,40,0,0,4,31,50,50
243,30,20,1,243,0,0,164.2574430094191,7,41,0,0,7,27,50,50
244,30,20,1,244,0,0,93.99999999999972,6,40,0,0,5,29,50,50
245,30,20,1,245,0,0,74.99599999999985,2,40,0,0,6,32,50,50
246,30,20,1,246,0,0,112.1437595999998,8,41,1,0,4,29,50,50
247,30,20,1,247,0,0,141.19999999999987,5,40,0,0,5,30,50,50
248,30,20,1,248,0,0,133.6778164474589,7,41,0,0,4,30,50,50
249,30,20,1,249,0,0,84.59393979999975,8,40,0,0,3,29,50,50
250,30,20,3,250,0,0,308.9518597999996,14,120,0,0,9,97,50,50
251,30,20,3,251,0,0,333.1518198,17,120,0,0,10,93,50,50
252,30,20,3,252,0,0,207.13937639199958,10,120,0,0,7,103,50,50
253,30,20,3,253,0,0,301.6227151919994,22,120,0,0,14,84,50,50
254,30,20,3,254,0,0,248.7919999999993,14,121,0,0,12,95,50,50
255,30,20,3,255,0,0,323.5397393999991,17,121,0,0,11,93,50,50
256,30,20,3,256,0,0,282.5376591999992,10,121,0,0,9,102,50,50
257,30,20,3,257,0,0,243.29988521520664,8,120,0,0,11,101,50,50
258,30,20,3,258,0,0,214.79399999999941,12,120,0,0,10,98,50,50
259,30,20,3,259,0,0,274.71830955087694,21,121,0,0,6,94,50,50
260,30,20,5,260,0,0,430.6093150473773,17,201,0,0,16,168,50,50
261,30,20,5,261,0,0,463.14959718797854,26,202,0,0,13,163,50,50
262,30,20,5,262,0,0,334.75191999999925,14,205,0,0,4,187,50,50
263,30,20,5,263,0,0,449.7439399999989,32,203,0,0,14,157,50,50
264,30,20,5,264,0,0,461.96157698797873,21,201,0,0,20,160,50,50
265,30,20,5,265,0,0,399.51779999999934,26,202,0,0,12,164,50,50
266,30,20,5,266,0,0,395.4628943839792,20,201,0,0,8,173,50,50
267,30,20,5,267,0,0,383.52333497795905,19,201,0,0,18,164,50,50
268,30,20,5,268,0,0,404.1027903579192,20,203,0,0,13,170,50,50
269,30,20,5,269,0,0,516.3216187979986,32,201,0,0,16,153,50,50
