,HiveID,FoodLocs
102,42,"[(27, 10), (27, 10), (26, 8), (25, 17), (25, 1), (24, 24), (27, 3), (32, 22), (41, 6), (27, 1), (40, 13)]"
103,42,"[(27, 10), (27, 10), (26, 8), (25, 17), (25, 1), (24, 24), (27, 3), (32, 22), (41, 6), (27, 1), (40, 13)]"
104,42,"[(27, 10), (27, 10), (26, 8), (25, 17), (25, 1), (24, 24), (27, 3), (32, 22), (41, 6), (27, 1), (40, 13)]"
105,42,"[(27, 10), (27, 10), (26, 8), (25, 17), (25, 1), (24, 24), (27, 3), (32, 22), (41, 6), (27, 1), (40, 13)]"
106,42,"[(27, 10), (27, 10), (26, 8), (25, 17), (25, 1), (24, 24), (27, 3), (32, 22), (41, 6), (27, 1), (40, 13)]"
107,42,"[(27, 10), (27, 10), (26, 8), (25, 17), (25, 1), (24, 24), (27, 3), (32, 22), (41, 6), (27, 1), (40, 13)]"
108,42,"[(27, 10), (27, 10), (26, 8), (25, 17), (25, 1), (24, 24), (27, 3), (32, 22), (41, 6), (27, 1), (40, 13)]"
109,42,"[(27, 10), (27, 10), (26, 8), (25, 17), (25, 1), (24, 24), (27, 3), (32, 22), (41, 6), (27, 1), (40, 13)]"
110,42,"[(27, 10), (27, 10), (26, 8), (25, 17), (25, 1), (24, 24), (27, 3), (32, 22), (41, 6), (27, 1), (40, 13)]"
111,42,"[(27, 10), (27, 10), (26, 8), (25, 17), (25, 1), (24, 24), (27, 3), (32, 22), (41, 6), (27, 1), (40, 13)]"
112,42,"[(27, 10), (27, 10), (26, 8), (25, 17), (25, 1), (24, 24), (27, 3), (32, 22), (41, 6), (27, 1), (40, 13)]"
113,42,"[(27, 10), (27, 10), (26, 8), (25, 17), (25, 1), (24, 24), (27, 3), (32, 22), (41, 6), (27, 1), (40, 13)]"
114,42,"[(27, 10), (27, 10), (26, 8), (25, 17), (25, 1), (24, 24), (27, 3), (32, 22), (41, 6), (27, 1), (40, 13)]"
115,42,"[(27, 10), (27, 10), (26, 8), (25, 17), (25, 1), (24, 24), (27, 3), (32, 22), (41, 6), (27, 1), (40, 13)]"
116,42,"[(27, 10), (27, 10), (26, 8), (25, 17), (25, 1), (24, 24), (27, 3), (32, 22), (41, 6), (27, 1), (40, 13)]"
117,42,"[(27, 10), (27, 10), (26, 8), (25, 17), (25, 1), (24, 24), (27, 3), (32, 22), (41, 6), (27, 1), (40, 13)]"
118,42,"[(27, 10), (27, 10), (26, 8), (25, 17), (25, 1), (24, 24), (27, 3), (32, 22), (41, 6), (27, 1), (40, 13)]"
119,42,"[(27, 10), (27, 10), (26, 8), (25, 17), (25, 1), (24, 24), (27, 3), (32, 22), (41, 6), (27, 1), (40, 13)]"
120,42,"[(27, 10), (27, 10), (26, 8), (25, 17), (25, 1), (24, 24), (27, 3), (32, 22), (41, 6), (27, 1), (40, 13)]"
121,42,"[(27, 10), (27, 10), (26, 8), (25, 17), (25, 1), (24, 24), (27, 3), (32, 22), (41, 6), (27, 1), (40, 13)]"
122,42,"[(27, 10), (27, 10), (26, 8), (25, 17), (25, 1), (24, 24), (27, 3), (32, 22), (41, 6), (27, 1), (40, 13)]"
123,42,"[(27, 10), (27, 10), (26, 8), (25, 17), (25, 1), (24, 24), (27, 3), (32, 22), (41, 6), (27, 1), (40, 13)]"
124,42,"[(27, 10), (27, 10), (26, 8), (25, 17), (25, 1), (24, 24), (27, 3), (32, 22), (41, 6), (27, 1), (40, 13)]"
125,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (27, 10), (23, 16), (26, 24), (32, 19)]"
126,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (27, 10), (23, 16), (26, 24), (32, 19)]"
127,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (27, 10), (23, 16), (26, 24), (32, 19)]"
128,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (27, 10), (23, 16), (26, 24), (32, 19)]"
129,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (27, 10), (23, 16), (26, 24), (32, 19)]"
130,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (27, 10), (23, 16), (26, 24), (32, 19)]"
131,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (27, 10), (23, 16), (26, 24), (32, 19)]"
132,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (27, 10), (23, 16), (26, 24), (32, 19)]"
133,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (27, 10), (23, 16), (26, 24), (32, 19)]"
134,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (27, 10), (23, 16), (26, 24), (32, 19)]"
135,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (27, 10), (23, 16), (26, 24), (32, 19)]"
136,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (27, 10), (23, 16), (26, 24), (32, 19)]"
137,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (27, 10), (23, 16), (26, 24), (32, 19)]"
138,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (27, 10), (23, 16), (26, 24), (32, 19)]"
139,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (27, 10), (23, 16), (26, 24), (32, 19)]"
140,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (27, 10), (23, 16), (26, 24), (32, 19)]"
141,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (27, 10), (23, 16), (26, 24), (32, 19)]"
142,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (27, 10), (23, 16), (26, 24), (32, 19)]"
